time,visible_satellites,best_satellite,best_alt,best_az,best_distance
2025-05-16 20:43:00+00:00,36,STARLINK-30316,72.97758441905965,210.50305054531168,495.8838779759575
2025-05-16 20:44:00+00:00,36,STARLINK-32609,84.54929172727245,21.77110773751175,489.2759658123447
2025-05-16 20:45:00+00:00,32,STARLINK-31902,85.46493171356141,139.16950387251777,484.284270083532
2025-05-16 20:46:00+00:00,38,STARLINK-11462 [DTC],80.52004649120349,202.436891412283,361.78572747584263
2025-05-16 20:47:00+00:00,36,STARLINK-1411,65.66687825602705,192.51925506945096,596.017482786325
2025-05-16 20:48:00+00:00,37,STARLINK-5773,80.72770999175673,147.19252947107316,566.070085897856
2025-05-16 20:49:00+00:00,33,STARLINK-31009,68.88719692139468,237.4085110637741,595.7866140504093
2025-05-16 20:50:00+00:00,37,STARLINK-4092,72.04261842589828,289.78739271590365,565.6440164582801
2025-05-16 20:51:00+00:00,36,STARLINK-31776,76.33937608785189,7.021828822547762,496.38323599674607
2025-05-16 20:52:00+00:00,31,STARLINK-4187,66.05121962333011,355.848207251552,587.1079237977525
2025-05-16 20:53:00+00:00,39,STARLINK-1423,89.0447977673015,292.60878822421023,548.3047124552082
2025-05-16 20:54:00+00:00,41,STARLINK-30988,63.54755091242656,253.96259202099924,618.5663797261843
2025-05-16 20:55:00+00:00,48,STARLINK-1788,80.6830247035043,189.33900299986692,554.4424746266945
2025-05-16 20:56:00+00:00,42,STARLINK-30084,72.85691949691426,239.6938460855049,582.8663241352177
2025-05-16 20:57:00+00:00,35,STARLINK-3656,78.46415354497762,111.58558725293952,550.5105395366256
2025-05-16 20:58:00+00:00,31,STARLINK-5832,82.44118204381311,302.5576964554377,563.4420122444528
2025-05-16 20:59:00+00:00,33,STARLINK-3985,79.07895798458445,133.37450418855718,549.2434489188854
2025-05-16 21:00:00+00:00,39,STARLINK-11155 [DTC],65.57138470130155,277.92698017053334,393.9669458432492
2025-05-16 21:01:00+00:00,50,STARLINK-30120,69.23794908556131,261.55606782568486,594.788380743257
2025-05-16 21:02:00+00:00,46,STARLINK-2329,68.92451443109339,95.65356567922079,583.4787876652393
2025-05-16 21:03:00+00:00,43,STARLINK-5827,74.13271078207416,302.7792135257384,579.815961295333
2025-05-16 21:04:00+00:00,42,STARLINK-33760,74.0937969018531,116.25948309548488,392.0124261836485
2025-05-16 21:05:00+00:00,43,STARLINK-30870,73.52147984335912,78.93911670420911,581.4978699262771
